,num_cicloestacion,nombre,latitud,longitud,station_id,community
417,462,CE-462 Presa Falcón-Presa Danxhó,19.442338,-99.205198,462,636
418,477,CE-477 Lago Iseo-Laguna de Mayrán,19.440905,-99.181743,477,318
419,471,CE-471 Bahía de Chachalacas-Bahía de Santa Bárbara,19.436287,-99.174888,471,212
420,321,CE-321 Torres Adalid-Anaxágoras,19.389477,-99.157513,321,181
421,444,CE-444 General Manuel Rincón-Agustín Gutierrez,19.359475,-99.159437,444,573
422,441,CE-441 Puente Xoco-Real de Mayorazgo,19.361213660076572,-99.16772089901316,441,29
423,55,CE-055  5 De Mayo - Bolívar,19.434514,-99.138068,055,389
424,138,CE-138 Guanajuato-Frontera,19.417702,-99.155313,138,74
425,359,CE-359 Matías Romero -Pestalozzi,19.379331,-99.161163,359,374
426,398,CE-398 Juan Sánchez Azcona-Félix Cuevas,19.37104,-99.165653,398,254
427,178,CE-178 Tamaulipas-Francisco Murguía,19.406833,-99.180457,178,565
428,198,CE-198 Sócrates-Ejército Nacional,19.438173973703993,-99.20383617292828,198,622
429,326,CE-326 Eugenia-Nebraska,19.388978,-99.174811,326,275
430,622,CE-622 Fernando Montes de Oca - Eje 6 Sur,19.378362,-99.144007,622,491
431,402,CE-402 Uxmal-Municipio Libre,19.370934360592926,-99.1587414220112,402,422
432,39,CE-039 Puebla - Medellín,19.421762,-99.166931,039,363
433,483,CE-483 Colegio Salesiano - Marina Nacional,19.443092,-99.177612,483,6
434,313,CE-313 Pensilvania-Oklahoma,19.391431,-99.178989,313,96
435,230,CE-230 Edgar Allan Poe - Carlos Dickens,19.430098,-99.200074,230,225
436,485,CE-485 Lago de Pátzcuaro - Marina Nacional,19.438506,-99.172696,485,201
437,392,CE-392 Patricio Sanz-Félix Cuevas,19.373004,-99.174764,392,219
438,453,CE-453 Pedregal-Teapa,19.424842,-99.203739,453,534
439,357,CE-357 Matías Romero -Amores,19.380617,-99.167066,357,423
440,546,CE-546 Salvador Díaz Mirón - Santa María la Ribera,19.448764,-99.156817,546,385
441,301,CE-301 Luz Saviñón-Magdalena,19.393807,-99.171133,301,499
442,4,CE-004 Río Nilo - Río Panuco,19.428491,-99.171693,004,246
443,496,CE-496 Maestro Rural - José Parres,19.449039,-99.170246,496,594
444,146,CE-146 Coahuila-Manzanillo,19.410699360989387,-99.16587710386013,146,407
445,149,CE-149 Mérida-Antonio M. Anza,19.41199,-99.155699,149,200
446,495,CE-495 Amado Nervo - de los Maestros,19.445528,-99.166934,495,15
447,537,CE-537 Fresno - Clavel,19.457543649054426,-99.15946327155324,537,656
448,69,CE-069 Michoacán - Ámsterdam,19.410797,-99.168143,069,106
449,245,CE-245 Lago Onega-Av. Ejército Nacional,19.438347,-99.190503,245,306
450,425,CE-425 Nicolas San Juan-Avenida Universidad,19.36704,-99.167387,425,567
451,481,CE-481 Lago Garda - Mariano Escobedo,19.449367,-99.182461,481,130
452,502,CE-502 Mar Mediterráneo - Callejón de la Zanja,19.453432,-99.174636,502,297
453,504,CE-504 Mar Blanco - Calzada México Tacuba,19.455343,-99.179056,504,431
454,498,CE-498 de los Maestros - Plan de Agua Prieta,19.453146248510524,-99.16645511990282,498,370
455,536,CE-536 Fresno - Eulalia Guzmán (Eje 2 Norte),19.458881,-99.159215,536,533
456,497,CE-497 Manuel Carpio - Plan de Ayala,19.452688,-99.170157,497,230
457,492,CE-492 Lago Cuitzeo - Felipe Carrillo Puerto,19.449153,-99.173433,492,101
458,503,CE-503 Nextitla - Mar Egeo,19.455571630398424,-99.17513005440924,503,645
459,506,CE-506 Mar Mediterráneo - Mar Arábigo,19.459553,-99.185111,506,441
460,507,CE-507 Mar Mediterráneo - Azcapotzalco,19.460292,-99.188303,507,289
461,499,CE-499 de los Maestros - Calzada de los Gallos,19.455986,-99.165966,499,175
462,458,CE-458 Montes Urales-Volcán,19.428679,-99.206605,458,618
463,541,CE-541 Eligio Ancona - Naranjo,19.45272,-99.158014,541,131
